"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 10:44:03 IST 2024","Mon Jan 15 10:44:29 IST 2024","25902","chromium","add-to-cart-test.spec.ts","test for adding an cart","","","check items prices",""
"passed","Mon Jan 15 10:43:54 IST 2024","Mon Jan 15 10:44:08 IST 2024","14274","chromium","SearchTest.spec.ts","Test of search functionality","","","test search results - Test Case 1",""
"passed","Mon Jan 15 10:43:37 IST 2024","Mon Jan 15 10:44:03 IST 2024","25976","chromium","add-to-cart-test.spec.ts","test for adding an cart","","","check items is successfully added",""
"passed","Mon Jan 15 10:43:32 IST 2024","Mon Jan 15 10:43:33 IST 2024","1034","setup","auth.setup.ts","","","","authenticate",""
"passed","Mon Jan 15 10:44:04 IST 2024","Mon Jan 15 10:44:22 IST 2024","18483","chromium","SearchTest.spec.ts","Test of search functionality","","","test search results - Test Case 3",""
"passed","Mon Jan 15 10:43:37 IST 2024","Mon Jan 15 10:44:04 IST 2024","26877","chromium","personal-info-test.spec.ts","test for udpate personal info","","","check address is successfully added",""
"passed","Sun Jan 14 14:36:52 IST 2024","Sun Jan 14 14:37:12 IST 2024","20584","chromium","login-test.spec.ts","test for adding an address","","","check address is successfully added",""
"passed","Mon Jan 15 09:05:55 IST 2024","Mon Jan 15 09:06:12 IST 2024","16827","chromium","SearchTest.spec.ts","Test of search functionality","","","test search results",""
"passed","Mon Jan 15 10:43:37 IST 2024","Mon Jan 15 10:43:54 IST 2024","16679","chromium","login-test.spec.ts","test for logIn","","","check successfully loged in",""
"passed","Mon Jan 15 10:44:31 IST 2024","Mon Jan 15 10:44:44 IST 2024","13468","Logout","auth.teardown.ts","logOut","","","check user successfully loged out",""
"passed","Mon Jan 15 10:44:03 IST 2024","Mon Jan 15 10:44:23 IST 2024","19420","chromium","SearchTest.spec.ts","Test of search functionality","","","test search results - Test Case 2",""
"passed","Mon Jan 15 10:44:08 IST 2024","Mon Jan 15 10:44:29 IST 2024","21016","chromium","wishlist-test.spec.ts","test for adding item to wishlist ","","","check item added to wishlist",""
"passed","Mon Jan 15 10:43:37 IST 2024","Mon Jan 15 10:44:03 IST 2024","26241","chromium","address-test.spec.ts","test for adding an address","","","check address is successfully added",""
